site,product,price,currency,date
Jumia,"Samsung Galaxy A56 256GB، 8GB RAM Mobile Phone – 6.7""، 5G, Awesome pink","23,660.00",EGP,2025-12-28
Amazon,"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","20,199",EGP,2025-12-28
